code,principal_name,parser_covered,parser_provider_names,job_sheet_principals_table,actual_jobs_count,mapped_principals_entry,lost_cause,lost_cause_reason,eva_code,box_code,inbox,instructions,drag_into_eva
PRESTIGE,,no,,no,0,yes,no,,,,,,
PRINCIPAL,,no,,no,2,no,no,,,,,,
PROACTIVE,,no,,no,0,yes,no,,,,,,
QCL,QCL (QCL),yes,QCL,yes,28,yes,no,,QCL,QCL,Engineers,"QCL/Hackney solutions
Email from vd@complexreports.com",Yes - Only need to check address
QDOS,QDOS,yes,QDOS,yes,14,yes,no,,QDOS,QDOS,Desk,,Yes - Always Image-based Assessment
R1AM,,no,,no,0,yes,no,,,,,,
R1AM/MOTORX,R1AM/MOTORX,no,,yes,0,no,no,,R1AM/MOTORX,R1AM/MOTORX,Engineers,Do not message customer for images. Whatsapp R1AM/MOTORX,No
RC,,no,,no,0,yes,no,,,,,,
RELAY,Relay Motor Group,no,,yes,0,yes,no,,RELAY,RELAY,Whatsapp,No instructions - Customers name and accident date,No
RJS,Robert James Solicitors,yes,RJS,yes,0,yes,no,,RJS,RJS,Engineers,Direct,Yes - Only need to check address
RL,Regent Law  Ltd,no,,yes,0,yes,no,,RL,RL,Engineers,,No
ROZZII,ROZZII/Green Destinations,no,,yes,0,yes,no,,ROZZII,ROZZII,Engineers,Images with instruction,No
SBL,Smart Business Link,yes,SBL,yes,13,yes,no,,SBL,SBL,Info ,PDF in Email,No
SILVER 100,,no,,no,0,yes,no,,,,,,
SKY,,no,,no,0,yes,no,,,,,,
SLUG,,no,,no,0,yes,no,,,,,,
SS,Savas & Savage,no,,yes,0,yes,no,,SS,SS,Andrew,Instructions come via Andy,No
STALLION,Stallion,no,,yes,0,yes,no,,STALLION,STALLION,Not Applicable,In Whatsapp - Stallion Bodyworks,No
SUSSEX,,no,,no,0,yes,no,,,,,,
SWADE,,no,,no,0,yes,no,,,,,,
SWAN,Swan,yes,SWAN,yes,2,yes,no,,SWAN,SWAN,Engineers,Claim Specialists or Accident Specialist,No
TA,Turnams,no,,yes,0,yes,no,,TA,TA,Andrew,Go direct to Andy usually image based but Andy will tell you,No
TEN,Ten Legal,yes,TEN,yes,4,yes,no,,TEN,TEN,Engineers,Sometimes images go to Andy on Whats App - if he has no record use number in instruction to request images,No
TP,Taylor Price,no,,yes,0,yes,no,,TP,TP,Engineers,PDF in email,No
VOGUE,,no,,no,0,yes,no,,,,,,
WATERMANS,,no,,no,0,yes,no,,,,,,
WHITELINE,,no,,no,0,yes,no,,,,,,
WIL,Williams & Co,no,,yes,0,yes,no,,WIL,WIL,Andy to Engineers,Word doc in Email,No
WLS,Woodlands,no,,yes,0,yes,no,,WLS,WLS,Engineers,Complete Injury Claims,No
WOODLANDS,,no,,no,2,no,no,,,,,,
YML,NETWORK HD UK / YM Law,yes,HDUK,yes,4,yes,no,,YML,YML,Engineers,PDF in email,No
ZEN,Zenith Lawyers,no,,yes,0,no,no,,ZEN,ZEN,Engineers,,No
